campaign_id,campaign_name,channel,date,month,quarter,customer_segment,device_type,region,gender,impressions,clicks,conversions,spend,revenue,ctr,cvr,roi,cpa,roas,bounce_rate,avg_time_on_site_s,avg_pages_per_visit,budget_allocated
C1768,YouTube_Video_Ads,Video,2024-01-01,January,Q1,Young Adults (18-24),Mobile,North,Male,10267,822,30,308.34,4439.81,8.01,3.65,1339.91,10.28,14.4,60.0,554.8,3.1,319.84
C3579,Facebook_Social,Social,2024-01-01,January,Q1,Young Adults (18-24),Desktop,South,Non-binary,11524,2218,111,2035.92,35204.01,19.25,5.02,1629.15,18.34,17.29,28.0,160.3,8.9,2056.4
C6297,Google_Search_Ads,Search,2024-01-01,January,Q1,Millennials (25-34),Mobile,South,Female,3833,1297,96,2064.77,25070.29,33.85,7.47,1114.19,21.51,12.14,41.0,231.3,8.4,2074.64
C1884,Google_Search_Ads,Search,2024-01-01,January,Q1,Millennials (25-34),Mobile,West,Male,2593,894,82,1574.24,6199.11,34.49,9.24,293.78,19.2,3.94,43.0,322.6,1.6,1975.56
C7223,Facebook_Social,Social,2024-01-01,January,Q1,Young Adults (18-24),Mobile,Central,Male,10333,754,55,746.85,19759.37,7.3,7.32,2545.69,13.58,26.46,43.0,227.2,1.5,1094.32
C8009,Email_Newsletter,Email,2024-01-01,January,Q1,Young Adults (18-24),Mobile,West,Female,1717,332,20,36.39,6784.39,19.34,6.18,18543.56,1.82,186.44,52.0,231.3,8.2,46.48
C6692,Email_Newsletter,Email,2024-01-01,January,Q1,Millennials (25-34),Mobile,Central,Male,7926,1697,130,148.16,15831.77,21.41,7.67,10585.59,1.14,106.86,59.0,491.1,5.1,185.69
C6641,Email_Newsletter,Email,2024-01-01,January,Q1,Young Adults (18-24),Tablet,East,Non-binary,44900,12843,897,1293.12,346063.59,28.6,6.99,26661.91,1.44,267.62,40.0,198.1,6.4,1436.09
C6092,Facebook_Social,Social,2024-01-01,January,Q1,Gen X (35-44),Desktop,Central,Non-binary,3969,630,12,488.57,751.16,15.89,2.06,53.75,40.71,1.54,66.0,367.1,4.2,707.02
C6596,Influencer_Marketing,Influencer,2024-01-01,January,Q1,Gen X (35-44),Mobile,West,Male,22784,6322,31,11481.11,9090.32,27.75,0.5,-20.82,370.36,0.79,73.0,134.3,2.0,13703.28
C5165,Retargeting_Display,Display,2024-01-01,January,Q1,Gen X (35-44),Mobile,South,Male,7202,3365,551,1897.5,52175.12,46.74,16.38,2649.68,3.44,27.5,70.0,575.2,2.2,2115.94
C1295,Email_Newsletter,Email,2024-01-01,January,Q1,Millennials (25-34),Mobile,East,Female,1619,311,25,35.36,2774.54,19.27,8.06,7746.55,1.41,78.47,50.0,255.5,4.7,46.73
C1839,LinkedIn_B2B,Social,2024-01-01,January,Q1,Young Adults (18-24),Mobile,North,Non-binary,5423,872,37,2597.89,2075.66,16.1,4.34,-20.1,70.21,0.8,28.0,157.2,5.8,3489.26
